Date,Total_Emission,Aviation,Ground_Transport,Industry,Power,Residential
2028-01-01,54.4307,4.127,7.6856,18.1843,15.3892,9.0445
2028-01-02,53.9737,4.0923,7.6211,18.0317,15.26,8.9685
2028-01-03,53.9235,4.0885,7.614,18.0149,15.2458,8.9602
2028-01-04,54.3014,4.1172,7.6673,18.1411,15.3527,9.023
2028-01-05,54.808,4.1556,7.7389,18.3104,15.4959,9.1072
2028-01-06,55.0488,4.1738,7.7729,18.3908,15.564,9.1472
2028-01-07,54.8312,4.1573,7.7421,18.3181,15.5024,9.111
2028-01-08,54.3079,4.1177,7.6683,18.1433,15.3545,9.0241
2028-01-09,53.8644,4.084,7.6056,17.9952,15.2291,8.9504
2028-01-10,53.8266,4.0812,7.6003,17.9825,15.2184,8.9441
2028-01-11,54.2157,4.1107,7.6552,18.1125,15.3284,9.0088
2028-01-12,54.7317,4.1498,7.7281,18.2849,15.4743,9.0945
2028-01-13,54.9797,4.1686,7.7631,18.3678,15.5444,9.1357
2028-01-14,54.7671,4.1525,7.7331,18.2967,15.4843,9.1004
2028-01-15,54.2485,4.1132,7.6599,18.1235,15.3377,9.0142
2028-01-16,53.8095,4.0799,7.5979,17.9768,15.2136,8.9413
2028-01-17,53.7762,4.0774,7.5932,17.9657,15.2042,8.9357
2028-01-18,54.1695,4.1072,7.6487,18.0971,15.3154,9.0011
2028-01-19,54.6898,4.1466,7.7222,18.2709,15.4625,9.0875
2028-01-20,54.9419,4.1657,7.7578,18.3551,15.5337,9.1294
2028-01-21,54.7331,4.1499,7.7283,18.2854,15.4747,9.0947
2028-01-22,54.2181,4.1109,7.6556,18.1133,15.3291,9.0091
2028-01-23,53.7824,4.0778,7.5941,17.9678,15.2059,8.9368
2028-01-24,53.7521,4.0755,7.5898,17.9577,15.1974,8.9317
2028-01-25,54.1484,4.1056,7.6457,18.09,15.3094,8.9976
2028-01-26,54.6714,4.1452,7.7196,18.2648,15.4573,9.0845
2028-01-27,54.926,4.1645,7.7555,18.3498,15.5293,9.1268
2028-01-28,54.7197,4.1489,7.7264,18.2809,15.4709,9.0925
2028-01-29,54.2069,4.11,7.654,18.1096,15.326,9.0073
2028-01-30,53.7734,4.0771,7.5928,17.9647,15.2034,8.9353
2028-01-31,53.7451,4.075,7.5888,17.9553,15.1954,8.9306
2028-02-01,54.0872,4.1009,7.6371,18.0696,15.2921,8.9874
2028-02-02,54.5582,4.1366,7.7036,18.227,15.4253,9.0657
2028-02-03,54.7639,4.1522,7.7326,18.2957,15.4834,9.0999
2028-02-04,54.5124,4.1332,7.6971,18.2117,15.4123,9.0581
2028-02-05,53.959,4.0912,7.619,18.0268,15.2559,8.9661
2028-02-06,53.4899,4.0556,7.5528,17.87,15.1232,8.8882
2028-02-07,53.4317,4.0512,7.5445,17.8506,15.1068,8.8785
2028-02-08,53.8017,4.0793,7.5968,17.9742,15.2114,8.94
2028-02-09,54.3,4.1171,7.6671,18.1407,15.3523,9.0228
2028-02-10,54.5311,4.1346,7.6998,18.2179,15.4176,9.0612
2028-02-11,54.3023,4.1172,7.6675,18.1415,15.3529,9.0231
2028-02-12,53.7682,4.0767,7.592,17.963,15.2019,8.9344
2028-02-13,53.3143,4.0423,7.528,17.8114,15.0736,8.859
2028-02-14,53.267,4.0387,7.5213,17.7956,15.0602,8.8511
2028-02-15,53.6472,4.0676,7.575,17.9226,15.1677,8.9143
2028-02-16,54.1552,4.1061,7.6467,18.0923,15.3113,8.9987
2028-02-17,54.3958,4.1243,7.6807,18.1727,15.3794,9.0387
2028-02-18,54.1763,4.1077,7.6497,18.0993,15.3173,9.0022
2028-02-19,53.6512,4.0679,7.5755,17.9239,15.1688,8.9149
2028-02-20,53.206,4.0341,7.5127,17.7752,15.043,8.841
2028-02-21,53.1668,4.0312,7.5071,17.7621,15.0319,8.8345
2028-02-22,53.5547,4.0606,7.5619,17.8917,15.1416,8.8989
2028-02-23,54.0698,4.0996,7.6346,18.0638,15.2872,8.9845
2028-02-24,54.317,4.1184,7.6695,18.1464,15.3571,9.0256
2028-02-25,54.1037,4.1022,7.6394,18.0751,15.2968,8.9901
2028-02-26,53.5844,4.0628,7.5661,17.9016,15.15,8.9039
2028-02-27,53.1447,4.0295,7.504,17.7547,15.0256,8.8308
2028-02-28,53.1107,4.0269,7.4992,17.7434,15.016,8.8251
2028-02-29,53.5034,4.0567,7.5547,17.8746,15.1271,8.8904
2028-03-01,53.9558,4.091,7.6185,18.0257,15.255,8.9656
2028-03-02,54.1429,4.1052,7.645,18.0882,15.3079,8.9967
2028-03-03,53.8729,4.0847,7.6068,17.998,15.2315,8.9518
2028-03-04,53.3014,4.0414,7.5261,17.8071,15.0699,8.8568
2028-03-05,52.8147,4.0045,7.4574,17.6445,14.9323,8.776
2028-03-06,52.7397,3.9988,7.4468,17.6194,14.9111,8.7635
2028-03-07,53.098,4.0259,7.4974,17.7391,15.0124,8.823
2028-03-08,53.5854,4.0629,7.5662,17.902,15.1502,8.904
2028-03-09,53.8066,4.0797,7.5975,17.9758,15.2128,8.9408
2028-03-10,53.5684,4.0616,7.5638,17.8963,15.1454,8.9012
2028-03-11,53.0253,4.0204,7.4872,17.7148,14.9919,8.811
2028-03-12,52.5629,3.9854,7.4219,17.5604,14.8611,8.7341
2028-03-13,52.5073,3.9811,7.414,17.5418,14.8454,8.7249
2028-03-14,52.8797,4.0094,7.4666,17.6662,14.9507,8.7868
2028-03-15,53.3804,4.0473,7.5373,17.8334,15.0923,8.8699
2028-03-16,53.6141,4.0651,7.5703,17.9115,15.1583,8.9088
2028-03-17,53.3881,4.0479,7.5384,17.836,15.0944,8.8712
2028-03-18,52.8569,4.0077,7.4634,17.6586,14.9443,8.783
2028-03-19,52.4061,3.9735,7.3997,17.508,14.8168,8.7081
2028-03-20,52.3616,3.9701,7.3934,17.4931,14.8042,8.7007
2028-03-21,52.7445,3.9991,7.4475,17.621,14.9125,8.7643
2028-03-22,53.2549,4.0378,7.5196,17.7915,15.0568,8.8491
2028-03-23,53.4977,4.0562,7.5539,17.8727,15.1254,8.8895
2028-03-24,53.2802,4.0398,7.5231,17.8,15.064,8.8533
2028-03-25,52.7571,4.0001,7.4493,17.6252,14.916,8.7664
2028-03-26,52.3137,3.9665,7.3867,17.4771,14.7907,8.6927
2028-03-27,52.2762,3.9636,7.3814,17.4646,14.7801,8.6865
2028-03-28,52.6657,3.9932,7.4364,17.5947,14.8902,8.7512
2028-03-29,53.1823,4.0323,7.5093,17.7673,15.0363,8.837
2028-03-30,53.431,4.0512,7.5444,17.8504,15.1066,8.8784
2028-03-31,53.219,4.0351,7.5145,17.7795,15.0466,8.8431
2028-04-01,52.6406,3.9913,7.4328,17.5863,14.8831,8.747
2028-04-02,52.1442,3.9536,7.3627,17.4205,14.7428,8.6645
2028-04-03,52.0567,3.947,7.3504,17.3912,14.718,8.65
2028-04-04,52.4002,3.973,7.3989,17.506,14.8151,8.7071
2028-04-05,52.8754,4.0091,7.466,17.6647,14.9495,8.786
2028-04-06,53.088,4.0252,7.496,17.7358,15.0096,8.8214
2028-04-07,52.8459,4.0068,7.4618,17.6549,14.9411,8.7811
2028-04-08,52.2996,3.9654,7.3847,17.4724,14.7867,8.6904
2028-04-09,51.8344,3.9301,7.319,17.317,14.6552,8.6131
2028-04-10,51.7762,3.9257,7.3108,17.2975,14.6387,8.6034
2028-04-11,52.1458,3.9537,7.363,17.421,14.7432,8.6648
2028-04-12,52.6433,3.9915,7.4332,17.5872,14.8839,8.7475
2028-04-13,52.8739,4.0089,7.4658,17.6642,14.9491,8.7858
2028-04-14,52.6449,3.9916,7.4334,17.5877,14.8843,8.7477
2028-04-15,52.1109,3.9511,7.358,17.4093,14.7333,8.659
2028-04-16,51.6574,3.9167,7.294,17.2578,14.6051,8.5837
2028-04-17,51.6105,3.9132,7.2874,17.2422,14.5919,8.5759
2028-04-18,51.9912,3.942,7.3411,17.3694,14.6995,8.6391
2028-04-19,52.4995,3.9806,7.4129,17.5392,14.8432,8.7236
2028-04-20,52.7404,3.9988,7.4469,17.6196,14.9113,8.7636
2028-04-21,52.5211,3.9822,7.416,17.5464,14.8493,8.7272
2028-04-22,51.9962,3.9424,7.3418,17.371,14.7009,8.6399
2028-04-23,51.5512,3.9087,7.279,17.2223,14.5751,8.566
2028-04-24,51.5122,3.9057,7.2735,17.2093,14.5641,8.5595
2028-04-25,51.9002,3.9351,7.3283,17.339,14.6738,8.624
2028-04-26,52.4154,3.9742,7.401,17.5111,14.8195,8.7096
2028-04-27,52.6628,3.9929,7.436,17.5937,14.8894,8.7507
2028-04-28,52.4497,3.9768,7.4059,17.5225,14.8291,8.7153
2028-04-29,51.9305,3.9374,7.3326,17.3491,14.6823,8.629
2028-04-30,51.4909,3.9041,7.2705,17.2022,14.5581,8.556
2028-05-01,51.4197,3.8987,7.2604,17.1784,14.5379,8.5442
2028-05-02,51.7767,3.9257,7.3108,17.2977,14.6389,8.6035
2028-05-03,52.2627,3.9626,7.3795,17.46,14.7763,8.6842
2028-05-04,52.4831,3.9793,7.4106,17.5337,14.8386,8.7209
2028-05-05,52.2458,3.9613,7.3771,17.4544,14.7715,8.6814
2028-05-06,51.7058,3.9204,7.3008,17.274,14.6188,8.5917
2028-05-07,51.2489,3.8857,7.2363,17.1213,14.4896,8.5158
2028-05-08,51.1987,3.8819,7.2292,17.1046,14.4754,8.5074
2028-05-09,51.5762,3.9105,7.2825,17.2307,14.5822,8.5702
2028-05-10,52.0813,3.9488,7.3539,17.3995,14.725,8.6541
2028-05-11,52.319,3.9669,7.3874,17.4789,14.7922,8.6936
2028-05-12,52.0965,3.95,7.356,17.4045,14.7293,8.6566
2028-05-13,51.5684,3.91,7.2814,17.2281,14.58,8.5689
2028-05-14,51.1205,3.876,7.2182,17.0785,14.4533,8.4944
2028-05-15,51.0788,3.8728,7.2123,17.0645,14.4415,8.4875
2028-05-16,51.4643,3.9021,7.2667,17.1933,14.5505,8.5516
2028-05-17,51.9771,3.9409,7.3391,17.3647,14.6955,8.6368
2028-05-18,52.2223,3.9595,7.3738,17.4466,14.7648,8.6775
2028-05-19,52.0071,3.9432,7.3434,17.3747,14.704,8.6418
2028-05-20,51.486,3.9037,7.2698,17.2006,14.5567,8.5552
2028-05-21,51.0446,3.8702,7.2075,17.0531,14.4319,8.4818
2028-05-22,51.009,3.8675,7.2024,17.0412,14.4218,8.4759
2028-05-23,51.4002,3.8972,7.2577,17.1719,14.5324,8.5409
2028-05-24,51.9184,3.9365,7.3309,17.345,14.6789,8.627
2028-05-25,52.1686,3.9555,7.3662,17.4286,14.7497,8.6686
2028-05-26,51.958,3.9395,7.3365,17.3583,14.6901,8.6336
2028-05-27,51.4414,3.9003,7.2635,17.1857,14.544,8.5478
2028-05-28,51.0041,3.8672,7.2018,17.0396,14.4204,8.4751
2028-05-29,50.9724,3.8648,7.1973,17.029,14.4115,8.4698
2028-05-30,51.3673,3.8947,7.253,17.1609,14.5231,8.5354
2028-05-31,51.8889,3.9343,7.3267,17.3352,14.6706,8.6221
2028-06-01,52.138,3.9531,7.3619,17.4184,14.741,8.6635
2028-06-02,51.9263,3.9371,7.332,17.3477,14.6812,8.6283
2028-06-03,51.4086,3.8978,7.2589,17.1747,14.5348,8.5423
2028-06-04,50.9704,3.8646,7.197,17.0283,14.4109,8.4695
2028-06-05,50.938,3.8622,7.1924,17.0175,14.4017,8.4641
2028-06-06,51.3324,3.8921,7.2481,17.1492,14.5132,8.5296
2028-06-07,51.8538,3.9316,7.3217,17.3235,14.6607,8.6163
2028-06-08,52.1071,3.9508,7.3575,17.4081,14.7323,8.6584
2028-06-09,51.8994,3.9351,7.3282,17.3387,14.6735,8.6239
2028-06-10,51.3854,3.8961,7.2556,17.167,14.5282,8.5385
2028-06-11,50.9506,3.8631,7.1942,17.0217,14.4053,8.4662
2028-06-12,50.9212,3.8609,7.1901,17.0119,14.397,8.4613
2028-06-13,51.3183,3.891,7.2461,17.1445,14.5092,8.5273
2028-06-14,51.8419,3.9307,7.3201,17.3195,14.6573,8.6143
2028-06-15,52.0973,3.9501,7.3561,17.4048,14.7295,8.6567
2028-06-16,51.8916,3.9345,7.3271,17.3361,14.6713,8.6226
2028-06-17,51.3795,3.8956,7.2548,17.165,14.5265,8.5375
2028-06-18,50.9465,3.8628,7.1936,17.0203,14.4041,8.4655
2028-06-19,50.9188,3.8607,7.1897,17.0111,14.3963,8.4609
2028-06-20,51.3174,3.8909,7.246,17.1443,14.509,8.5272
2028-06-21,51.8427,3.9308,7.3202,17.3197,14.6575,8.6144
2028-06-22,52.0994,3.9502,7.3564,17.4055,14.7301,8.6571
2028-06-23,51.895,3.9347,7.3276,17.3372,14.6723,8.6231
2028-06-24,51.3842,3.896,7.2554,17.1666,14.5279,8.5383
2028-06-25,50.9524,3.8633,7.1945,17.0223,14.4058,8.4665
2028-06-26,50.9258,3.8612,7.1907,17.0134,14.3983,8.4621
2028-06-27,51.3255,3.8915,7.2471,17.1469,14.5113,8.5285
2028-06-28,51.8517,3.9314,7.3214,17.3227,14.6601,8.6159
2028-06-29,52.1094,3.951,7.3578,17.4088,14.7329,8.6588
2028-06-30,51.9058,3.9355,7.3291,17.3408,14.6754,8.6249
2028-07-01,51.4256,3.8991,7.2613,17.1804,14.5396,8.5451
2028-07-02,51.0232,3.8686,7.2045,17.046,14.4258,8.4783
2028-07-03,51.0243,3.8687,7.2046,17.0463,14.4261,8.4785
2028-07-04,51.4495,3.9009,7.2647,17.1884,14.5464,8.5491
2028-07-05,51.9988,3.9426,7.3422,17.3719,14.7016,8.6404
2028-07-06,52.2767,3.9637,7.3815,17.4647,14.7802,8.6866
2028-07-07,52.0904,3.9495,7.3552,17.4025,14.7276,8.6556
2028-07-08,51.5965,3.9121,7.2854,17.2375,14.5879,8.5735
2028-07-09,51.1807,3.8806,7.2267,17.0986,14.4704,8.5044
2028-07-10,51.1693,3.8797,7.2251,17.0948,14.4671,8.5025
2028-07-11,51.5834,3.9111,7.2836,17.2331,14.5842,8.5714
2028-07-12,52.1233,3.952,7.3598,17.4135,14.7369,8.6611
2028-07-13,52.394,3.9726,7.398,17.5039,14.8134,8.7061
2028-07-14,52.2027,3.9581,7.371,17.44,14.7593,8.6743
2028-07-15,51.7041,3.9202,7.3006,17.2734,14.6183,8.5914
2028-07-16,51.2838,3.8884,7.2413,17.133,14.4995,8.5216
2028-07-17,51.268,3.8872,7.239,17.1277,14.495,8.5189
2028-07-18,51.6778,3.9183,7.2969,17.2647,14.6109,8.587
2028-07-19,52.2135,3.9589,7.3725,17.4436,14.7624,8.6761
2028-07-20,52.4801,3.9791,7.4102,17.5327,14.8377,8.7204
2028-07-21,52.285,3.9643,7.3826,17.4675,14.7826,8.6879
2028-07-22,51.7828,3.9262,7.3117,17.2997,14.6406,8.6045
2028-07-23,51.3592,3.8941,7.2519,17.1582,14.5208,8.5341
2028-07-24,51.3403,3.8927,7.2492,17.1519,14.5155,8.531
2028-07-25,51.7472,3.9235,7.3067,17.2878,14.6305,8.5986
2028-07-26,52.2802,3.9639,7.3819,17.4659,14.7812,8.6871
2028-07-27,52.5442,3.9839,7.4192,17.5541,14.8559,8.731
2028-07-28,52.3467,3.969,7.3913,17.4881,14.8,8.6982
2028-07-29,51.8423,3.9307,7.3201,17.3196,14.6574,8.6144
2028-07-30,51.4165,3.8984,7.26,17.1774,14.537,8.5436
2028-07-31,51.3956,3.8969,7.257,17.1704,14.5311,8.5402
2028-08-01,51.8567,3.9318,7.3221,17.3244,14.6615,8.6168
2028-08-02,52.4416,3.9762,7.4047,17.5198,14.8269,8.714
2028-08-03,52.7546,3.9999,7.4489,17.6244,14.9154,8.766
2028-08-04,52.6023,3.9883,7.4274,17.5735,14.8723,8.7407
2028-08-05,52.1385,3.9532,7.3619,17.4186,14.7411,8.6636
2028-08-06,51.7483,3.9236,7.3068,17.2882,14.6308,8.5988
2028-08-07,51.7574,3.9243,7.3081,17.2912,14.6334,8.6003
2028-08-08,52.1905,3.9571,7.3693,17.4359,14.7559,8.6722
2028-08-09,52.7482,3.9994,7.448,17.6223,14.9135,8.7649
2028-08-10,53.0358,4.0212,7.4886,17.7183,14.9949,8.8127
2028-08-11,52.8607,4.0079,7.4639,17.6599,14.9454,8.7836
2028-08-12,52.3777,3.9713,7.3957,17.4985,14.8088,8.7033
2028-08-13,51.9723,3.9406,7.3385,17.363,14.6942,8.636
2028-08-14,51.9704,3.9404,7.3382,17.3624,14.6936,8.6357
2028-08-15,52.3934,3.9725,7.3979,17.5037,14.8132,8.7059
2028-08-16,52.9414,4.0141,7.4753,17.6868,14.9681,8.797
2028-08-17,53.2195,4.0351,7.5146,17.7797,15.0468,8.8432
2028-08-18,53.0351,4.0212,7.4885,17.7181,14.9947,8.8126
2028-08-19,52.5431,3.9839,7.4191,17.5537,14.8555,8.7308
2028-08-20,52.1289,3.9525,7.3606,17.4154,14.7384,8.662
2028-08-21,52.119,3.9517,7.3592,17.412,14.7356,8.6603
2028-08-22,52.5343,3.9832,7.4178,17.5508,14.853,8.7294
2028-08-23,53.0751,4.0242,7.4942,17.7315,15.006,8.8192
2028-08-24,53.3466,4.0448,7.5325,17.8222,15.0827,8.8643
2028-08-25,53.1561,4.0303,7.5056,17.7585,15.0288,8.8327
2028-08-26,52.6582,3.9926,7.4353,17.5922,14.8881,8.7499
2028-08-27,52.2386,3.9608,7.3761,17.452,14.7694,8.6802
2028-08-28,52.2234,3.9596,7.3739,17.4469,14.7652,8.6777
2028-08-29,52.6339,3.9907,7.4319,17.5841,14.8812,8.7459
2028-08-30,53.1702,4.0314,7.5076,17.7632,15.0328,8.835
2028-08-31,53.4374,4.0517,7.5453,17.8525,15.1084,8.8794
2028-09-01,53.3101,4.042,7.5274,17.81,15.0724,8.8583
2028-09-02,52.8729,4.0089,7.4656,17.6639,14.9488,8.7856
2028-09-03,52.5104,3.9814,7.4145,17.5428,14.8463,8.7254
2028-09-04,52.548,3.9842,7.4198,17.5554,14.8569,8.7316
2028-09-05,53.0058,4.0189,7.4844,17.7083,14.9864,8.8077
2028-09-06,53.5835,4.0627,7.566,17.9013,15.1497,8.9037
2028-09-07,53.8855,4.0856,7.6086,18.0022,15.2351,8.9539
2028-09-08,53.7235,4.0734,7.5857,17.9481,15.1893,8.927
2028-09-09,53.2525,4.0376,7.5192,17.7907,15.0561,8.8487
2028-09-10,52.8586,4.0078,7.4636,17.6591,14.9447,8.7832
2028-09-11,52.8679,4.0085,7.4649,17.6623,14.9474,8.7848
2028-09-12,53.3018,4.0414,7.5262,17.8072,15.0701,8.8569
2028-09-13,53.8603,4.0837,7.6051,17.9938,15.228,8.9497
2028-09-14,54.1484,4.1056,7.6457,18.09,15.3094,8.9976
2028-09-15,53.9734,4.0923,7.621,18.0316,15.2599,8.9685
2028-09-16,53.4901,4.0557,7.5528,17.8701,15.1233,8.8882
2028-09-17,53.0842,4.0249,7.4955,17.7345,15.0085,8.8207
2028-09-18,53.0818,4.0247,7.4951,17.7337,15.0079,8.8203
2028-09-19,53.5043,4.0567,7.5548,17.8748,15.1273,8.8905
2028-09-20,54.0519,4.0983,7.6321,18.0578,15.2821,8.9815
2028-09-21,54.3297,4.1193,7.6713,18.1506,15.3607,9.0277
2028-09-22,54.145,4.1053,7.6453,18.0889,15.3085,8.997
2028-09-23,53.6527,4.068,7.5757,17.9244,15.1693,8.9152
2028-09-24,53.2384,4.0366,7.5172,17.786,15.0521,8.8464
2028-09-25,53.2282,4.0358,7.5158,17.7826,15.0492,8.8447
2028-09-26,53.6433,4.0673,7.5744,17.9213,15.1666,8.9136
2028-09-27,54.184,4.1083,7.6508,18.1019,15.3195,9.0035
2028-09-28,54.4553,4.1288,7.6891,18.1926,15.3962,9.0486
2028-09-29,54.2645,4.1144,7.6621,18.1288,15.3422,9.0169
2028-09-30,53.7665,4.0766,7.5918,17.9624,15.2014,8.9341
2028-10-01,53.4071,4.0494,7.5411,17.8424,15.0998,8.8744
2028-10-02,53.4497,4.0526,7.5471,17.8566,15.1119,8.8815
2028-10-03,53.9146,4.0879,7.6127,18.0119,15.2433,8.9587
2028-10-04,54.5011,4.1323,7.6955,18.2079,15.4091,9.0562
2028-10-05,54.8136,4.156,7.7397,18.3123,15.4975,9.1081
2028-10-06,54.6587,4.1443,7.7178,18.2605,15.4537,9.0824
2028-10-07,54.1907,4.1088,7.6517,18.1042,15.3214,9.0046
2028-10-08,53.799,4.0791,7.5964,17.9733,15.2106,8.9395
2028-10-09,53.8102,4.0799,7.598,17.9771,15.2138,8.9414
2028-10-10,54.2458,4.113,7.6595,18.1226,15.3369,9.0138
2028-10-11,54.806,4.1554,7.7386,18.3097,15.4953,9.1068
2028-10-12,55.096,4.1774,7.7795,18.4066,15.5773,9.155
2028-10-13,54.9231,4.1643,7.7551,18.3488,15.5284,9.1263
2028-10-14,54.4418,4.1278,7.6872,18.188,15.3924,9.0463
2028-10-15,54.0377,4.0972,7.6301,18.0531,15.2781,8.9792
2028-10-16,54.0371,4.0971,7.63,18.0529,15.2779,8.9791
2028-10-17,54.4612,4.1293,7.6899,18.1945,15.3978,9.0495
2028-10-18,55.0103,4.1709,7.7674,18.378,15.5531,9.1408
2028-10-19,55.2894,4.1921,7.8068,18.4712,15.632,9.1872
2028-10-20,55.1061,4.1782,7.781,18.41,15.5802,9.1567
2028-10-21,54.615,4.141,7.7116,18.2459,15.4413,9.0751
2028-10-22,54.2019,4.1096,7.6533,18.1079,15.3245,9.0065
2028-10-23,54.1927,4.1089,7.652,18.1048,15.3219,9.0049
2028-10-24,54.6089,4.1405,7.7108,18.2439,15.4396,9.0741
2028-10-25,55.1505,4.1816,7.7872,18.4248,15.5927,9.1641
2028-10-26,55.4227,4.2022,7.8257,18.5158,15.6697,9.2093
2028-10-27,55.2328,4.1878,7.7989,18.4523,15.616,9.1778
2028-10-28,54.7355,4.1501,7.7286,18.2862,15.4754,9.0951
2028-10-29,54.3165,4.1183,7.6695,18.1462,15.3569,9.0255
2028-10-30,54.302,4.1172,7.6674,18.1413,15.3528,9.0231
2028-10-31,54.713,4.1484,7.7254,18.2786,15.469,9.0914
